dac_bin,load,current_mA,shunt_volts,dac_volts,sample_index,load_resistance_ohm,load_voltage_V,samples_in_bin,previous_slope_mA_per_V,next_slope_mA_per_V,local_slope_mA_per_V,reference_slope_mA_per_V,slope_threshold_mA_per_V,inside_common_voltage_limit,inside_linear_slope_region,compliance_candidate,compliance_run_id,compliance_run_points,max_compliance_run_points,in_common_compliance_region,row_index,fitted_mA,residual_mA,studentized_residual,leverage,cook_distance,influential_by_cook,outlier_by_studentized_residual,flagged
0.03,1k,46.122147817460316,0.4612214781746032,0.029961144179894178,269,1000,46.122147817460316,189,-20.82364730802269,-24.33258199112984,-22.578114649576264,28.15321180555553,14.076605902777764,TRUE,TRUE,TRUE,2,322,322,TRUE,1,45.50794082725649,0.6142069902038224,1.5862630375876694,0.009853893732288042,0.012487141533680532,TRUE,FALSE,TRUE
0.04,1k,45.87882199754902,0.4587882199754902,0.039593290441176474,456,1000,45.87882199754902,204,-24.33258199112984,-32.22922907588951,-28.280905533509674,28.15321180555553,14.076605902777764,TRUE,TRUE,TRUE,2,322,322,TRUE,2,45.227609303488755,0.6512126940602625,1.6822160287367152,0.009753885870405129,0.013891889155905307,TRUE,FALSE,TRUE
0.05,1k,45.55652970679012,0.4555652970679012,0.05044945987654321,645,1000,45.55652970679012,162,-32.22922907588951,-33.75151565255693,-32.99037236422322,28.15321180555553,14.076605902777764,TRUE,TRUE,TRUE,2,322,322,TRUE,3,44.94727777971992,0.609251927070202,1.573250395938103,0.009654500226895062,0.01203301265459848,TRUE,FALSE,TRUE
0.06,1k,45.21901455026455,0.4521901455026455,0.06002232142857143,824,1000,45.21901455026455,189,-33.75151565255693,-13.766107344336108,-23.75881149844652,28.15321180555553,14.076605902777764,TRUE,TRUE,TRUE,2,322,322,TRUE,4,44.666946255951366,0.552068294313188,1.424955445839437,0.009555736801757952,0.009777187137503465,TRUE,FALSE,TRUE
0.07,1k,45.08135347682119,0.4508135347682119,0.06957988410596026,985,1000,45.08135347682119,151,-13.766107344336108,-31.601877736763853,-22.68399254054998,28.15321180555553,14.076605902777764,TRUE,TRUE,TRUE,2,322,322,TRUE,5,44.38661473218282,0.6947387446383749,1.7950060889866535,0.009457595594993816,0.01532152001312637,TRUE,FALSE,TRUE
0.08,1k,44.765334699453554,0.4476533469945355,0.08005806010928962,1160,1000,44.765334699453554,183,-31.601877736763853,-34.93126000060373,-33.26656886868379,28.15321180555553,14.076605902777764,TRUE,TRUE,TRUE,2,322,322,TRUE,6,44.106283208414254,0.6590514910392989,1.7022286978550185,0.009360076606602645,0.013643024609477122,TRUE,FALSE,TRUE
0.09,1k,44.41602209944752,0.44416022099447516,0.0897807320441989,1342,1000,44.41602209944752,181,-34.93126000060373,-18.640562217478855,-26.785911109041294,28.15321180555553,14.076605902777764,TRUE,TRUE,TRUE,2,322,322,TRUE,7,43.8259516846457,0.590070414801817,1.523208947629702,0.009263179836584447,0.010821199087841387,TRUE,FALSE,TRUE
0.1,1k,44.22961647727273,0.44229616477272726,0.09995028409090909,1516,1000,44.22961647727273,176,-18.640562217478855,-22.940631645401776,-20.790596931440316,28.15321180555553,14.076605902777764,TRUE,TRUE,TRUE,2,322,322,TRUE,8,43.54562016087714,0.6839963163955834,1.7668348991085276,0.009166905284939216,0.014386444679672223,TRUE,FALSE,TRUE
0.11,1k,44.00021016081871,0.44000210160818715,0.11003654970760234,1690,1000,44.00021016081871,171,-22.940631645401776,-33.5218841374264,-28.23125789141409,28.15321180555553,14.076605902777764,TRUE,TRUE,TRUE,2,322,322,TRUE,9,43.26528863710859,0.7349215237101211,1.8991012379286594,0.009071252951666955,0.016431929918104604,TRUE,FALSE,TRUE
0.12,1k,43.66499131944445,0.43664991319444446,0.11979253472222222,1867,1000,43.66499131944445,180,-33.5218841374264,-28.792031352728717,-31.156957745077555,28.15321180555553,14.076605902777764,TRUE,TRUE,TRUE,2,322,322,TRUE,10,42.98495711334004,0.6800342061044125,1.7563741732697193,0.008976222836767668,0.013919101821812068,TRUE,FALSE,TRUE
0.13,1k,43.37707100591716,0.4337707100591716,0.13018028846153845,2041,1000,43.37707100591716,169,-28.792031352728717,-22.080354781660084,-25.436193067194402,28.15321180555553,14.076605902777764,TRUE,TRUE,TRUE,2,322,322,TRUE,11,42.704625589571485,0.6724454163456731,1.7365852981485062,0.008881814940241348,0.013464465693880111,TRUE,FALSE,TRUE
0.14,1k,43.15626745810056,0.4315626745810056,0.1398646997206704,2210,1000,43.15626745810056,179,-22.080354781660084,-31.529133450505558,-26.804744116082823,28.15321180555553,14.076605902777764,TRUE,TRUE,TRUE,2,322,322,TRUE,12,42.424294065802926,0.7319733922976345,1.8911625417592641,0.008788029262087996,0.015782406488680133,TRUE,FALSE,TRUE
0.15,1k,42.8409761235955,0.42840976123595503,0.1504757724719101,2397,1000,42.8409761235955,178,-31.529133450505558,-30.54661733467438,-31.037875392589967,28.15321180555553,14.076605902777764,TRUE,TRUE,TRUE,2,322,322,TRUE,13,42.14396254203437,0.6970135815611276,1.8002204662168575,0.008694865802307617,0.014156466700861283,TRUE,FALSE,TRUE
0.16,1k,42.53550995024876,0.42535509950248757,0.1599580223880597,2582,1000,42.53550995024876,201,-30.54661733467438,-29.82213473075814,-30.18437603271626,28.15321180555553,14.076605902777764,TRUE,TRUE,TRUE,2,322,322,TRUE,14,41.863631018265814,0.6718789319829458,1.7348686273684968,0.008602324560900206,0.013011467947513044,TRUE,FALSE,TRUE
0.17,1k,42.23728860294118,0.42237288602941175,0.1703014705882353,2771,1000,42.23728860294118,170,-29.82213473075814,-22.887379847190246,-26.35475728897419,28.15321180555553,14.076605902777764,TRUE,TRUE,TRUE,2,322,322,TRUE,15,41.58329949449726,0.6539891084439194,1.6883592597767465,0.008510405537865764,0.012193803258002548,TRUE,FALSE,TRUE
0.18,1k,42.008414804469275,0.42008414804469274,0.17987081005586592,2940,1000,42.008414804469275,179,-22.887379847190246,-31.254184251275035,-27.07078204923264,28.15321180555553,14.076605902777764,TRUE,TRUE,TRUE,2,322,322,TRUE,16,41.30296797072871,0.7054468337405655,1.821874352004263,0.008419108733204294,0.014033390684354928,TRUE,FALSE,TRUE
0.19,1k,41.695872961956525,0.4169587296195652,0.19021908967391304,3126,1000,41.695872961956525,184,-31.254184251275035,-31.398005831069014,-31.326095041172024,28.15321180555553,14.076605902777764,TRUE,TRUE,TRUE,2,322,322,TRUE,17,41.022636446960156,0.6732365149963702,1.7381514908530726,0.008328434146915791,0.012641167294410201,TRUE,FALSE,TRUE
0.2,1k,41.381892903645834,0.41381892903645834,0.19997965494791667,3313,1000,41.381892903645834,192,-31.398005831069014,-20.63329325475682,-26.015649542912918,28.15321180555553,14.076605902777764,TRUE,TRUE,TRUE,2,322,322,TRUE,18,40.7423049231916,0.6395879804542349,1.650771275473414,0.00823838177900026,0.011283715449989988,TRUE,FALSE,TRUE
0.21,1k,41.17555997109827,0.41175559971098263,0.20971459537572254,3492,1000,41.17555997109827,173,-20.63329325475682,-33.611481803703896,-27.12238752923036,28.15321180555553,14.076605902777764,TRUE,TRUE,TRUE,2,322,322,TRUE,19,40.46197339942304,0.7135865716752294,1.842769464932415,0.008148951629457698,0.01389077198198641,TRUE,FALSE,TRUE
0.22,1k,40.83944515306123,0.40839445153061227,0.22027901785714285,3681,1000,40.83944515306123,196,-33.611481803703896,-38.51189247375256,-36.06168713872823,28.15321180555553,14.076605902777764,TRUE,TRUE,TRUE,2,322,322,TRUE,20,40.181641875654485,0.6578032774067455,1.697868881281794,0.008060143698288103,0.011673158632024143,TRUE,FALSE,TRUE
0.23,1k,40.4543262283237,0.404543262283237,0.2301210260115607,3867,1000,40.4543262283237,173,-38.51189247375256,-14.416487211455147,-26.464189842603854,28.15321180555553,14.076605902777764,TRUE,TRUE,TRUE,2,322,322,TRUE,21,39.90131035188593,0.5530158764377676,1.4262661045254366,0.007971957985491484,0.008158616532476735,TRUE,FALSE,TRUE
