model,alpha,decision,term,estimate,std_error,statistic,p_value,ci_low,ci_high
global_current_mA_by_dac,0.05,reject_H0,(Intercept),43.425537285660546,0.3523346404757198,123.25083116161298,0,42.733671774827606,44.11740279649349
global_current_mA_by_dac,0.05,reject_H0,dac_bin,-25.649178238285906,0.17930889815318177,-143.04464810426794,0,-26.001279985222116,-25.297076491349696
interaction_current_mA_by_dac_load,0.05,reject_H0,(Intercept),46.610346011227854,0.27021491700080097,172.49360815668697,0,46.07972946932475,47.14096255313096
interaction_current_mA_by_dac_load,0.05,reject_H0,dac_bin,-28.111406457506742,0.14367647061881592,-195.65769075778832,0,-28.39354155514968,-27.829271359863803
interaction_current_mA_by_dac_load,0.05,reject_H0,load2k,-11.034052404370193,0.5470218994381023,-20.171134676151553,2.1714440299717533e-70,-12.108230217522735,-9.959874591217652
interaction_current_mA_by_dac_load,0.05,do_not_reject_H0,load4k7,-3.6913112636200642,2.125965890305118,-1.7362984422531296,0.08299305104476161,-7.866035151695874,0.4834126244557453
interaction_current_mA_by_dac_load,0.05,reject_H0,dac_bin:load2k,7.066875518711327,0.26348514440876436,26.820774030994137,9.916190581276887e-107,6.54947411940736,7.584276918015294
interaction_current_mA_by_dac_load,0.05,do_not_reject_H0,dac_bin:load4k7,1.9552744818489538,1.278746905437909,1.5290551035033526,0.12674563387129012,-0.5557795652921746,4.466328528990083
load_1k,0.05,reject_H0,(Intercept),46.61034601122774,0.03975491537767362,1172.4423399830484,0,46.53213475063883,46.68855727181665
load_1k,0.05,reject_H0,dac_bin,-28.111406457506686,0.021138159190511693,-1329.8890506097182,0,-28.1529923107556,-28.06982060425777
load_2k,0.05,reject_H0,(Intercept),35.57629360685758,0.7685328572525449,46.291181009541376,3.1693550114336327e-122,34.06242595356117,37.090161260154
load_2k,0.05,reject_H0,dac_bin,-21.04453093879537,0.3568843486420521,-58.96736861358584,1.3868656154141536e-145,-21.74752712988655,-20.341534747704188
load_4k7,0.05,reject_H0,(Intercept),42.9190347476077,0.0970368318729482,442.2963313950958,2.180953489216593e-128,42.72568463946629,43.112384855749106
load_4k7,0.05,reject_H0,dac_bin,-26.156131975657733,0.058471308675421683,-447.33276145489145,9.438334746630395e-129,-26.27263860141366,-26.039625349901804
